Status Beasiswa BI,NR,,,,,,,,,,,IP,Penghasilan Orang Tua,Tanggungan Orang Tua,Tahun Masuk,Usia
,2015 1,2015 2,2016 1,2016 2,2017 1,2017 2,2018 1,2018 2,2019 1,2019 2,2020 1,,,,,
Tidak,,,,,3.71,3.47,3.3,3.43,2.85,3.63,3.61,3.58,4000000,2,2017,18
Tidak,,,,,3.94,3.5,3.75,3.5,3.87,3.72,2.58,3.72,1500000,2,2017,20
Tidak,,,3.13,3.18,3.26,3.43,3.33,3.3,3.21,,,3.26,4000000,5,2016,19
Tidak,,,,,3.12,3.29,3.71,3.07,3.07,3.71,3.5,3.39,1000000,1,2017,19
Tidak,,,,,,,3.06,3.06,3.19,3.29,2.9,3.46,1500000,2,2018,20
Tidak,,,,,,,3.36,3.25,3.93,3.8,3.87,3.54,1500000,4,2018,19
Tidak,,,,,,,3.53,3.03,3.72,3.58,3.34,3.45,2750000,4,2018,19
Tidak,,,,,3,3.24,3.58,3.16,3.24,3.33,3.84,3.28,1000000,3,2017,19
Tidak,,,,,,,3.18,3.21,3.88,3.88,4,3.45,1000000,4,2018,19
Tidak,2.42,2.26,2.93,3.34,3.72,3.66,3.85,,,,,3.22,3000000,5,2015,20
Tidak,,,,,3.44,3.45,3.39,3.22,3.68,3.57,3.89,3.43,1500000,2,2017,20
Tidak,,,,,3.82,3.58,3.68,2.98,3.41,3.25,3.63,3.67,1000000,1,2017,19
Tidak,,,,,3.56,3.1,3.05,2.95,3.7,3.59,3.88,3.2,1800000,6,2017,20
Tidak,,,,,2.91,3.21,2.34,2.63,2.61,3.13,2.87,3.07,4000000,3,2017,18
Tidak,,,,,3.11,3.11,3.3,3.65,3.86,3.83,3.89,3.11,4250000,3,2017,18
Tidak,,,,,,,3.33,3.36,3.79,3.66,3.52,3.51,1500000,3,2018,19
Tidak,,,2.95,2.65,3.03,3.33,3.24,2.9,3.89,,,3,5482100,4,2016,19
Tidak,,,3.34,3.21,3.95,3.75,3.95,3.73,4,,,3.59,5384634,3,2016,19
Tidak,,,,,2.97,3.37,3.48,3.46,3.55,3.14,3.64,3.29,2500000,4,2017,20
Tidak,,,,,,,3.5,3.39,3.39,3.18,3.45,3.42,300000,2,2018,20
Tidak,,,,,,,3.58,3.53,3.37,3.3,3.77,3.48,1000000,4,2018,18
