Status Beasiswa BI,NR,,,,,,,,,,,IP,Penghasilan Orang Tua,Tanggungan Orang Tua,Tahun Masuk,Usia
,2015 1,2015 2,2016 1,2016 2,2017 1,2017 2,2018 1,2018 2,2019 1,2019 2,2020 1,,,,,
Iya,,,,,2.94,3.29,3.26,2.87,2.88,3.11,3.68,3.18,0,2,2017,19
Iya,,,,,3.71,3.89,3.57,3.46,3.57,3.38,3.56,3.71,2000000,5,2017,19
Iya,,,,,3.03,3.34,3.19,2.5,3.26,3.32,3.45,3.19,1000000,3,2017,19
Iya,,,,,3.09,3.03,3.26,2.9,2.91,3.2,3.67,3.14,1000000,3,2017,19
Iya,,,,,3.19,3.45,2.93,2.95,2.62,3.13,3.37,3.19,0,3,2017,19
Iya,,,,,2.97,3.21,3.27,3.45,3.67,3.67,2.67,3.27,2507800,4,2017,19
Iya,,,,,3.65,3.47,3.57,2.88,3.05,3.5,3.61,3.56,2500000,4,2017,18
Iya,,,,,,,3.61,3.11,3.43,3.34,3.39,3.39,750000,5,2018,19
Iya,,,,,3.71,3.89,3.57,3.46,3.57,3.38,3.56,3.81,1500000,5,2017,18
Iya,,,,,3.53,3.47,3.52,3.5,3.6,3.9,3.25,3.5,2076900,4,2017,19
Iya,,,,,3.71,3.45,3.7,3.38,3.56,3.54,3.58,3.56,2500000,3,2017,21
Iya,,,3.76,3.09,3.5,3.73,3.29,3.34,2.44,,,3.47,2461798,5,2016,20
Iya,,,,,,,3.37,3.44,3.39,3.43,3.26,3.4,1250000,3,2018,19
Iya,,,,,3.39,3.28,3.17,3.52,3.36,3.18,3.17,3.27,2204494,3,2017,19
Iya,,,,,,,3.69,3.61,3.95,3.64,3.56,3.77,1500000,2,2018,20
Iya,,,,,,,3.39,3.47,3.76,3.67,3.61,3.55,1000000,4,2018,20
Iya,,,,,3.88,4,3.81,3.47,3.71,3.75,3.61,3.84,1000000,4,2017,20
Iya,,,,,3.76,3.16,3.48,3.36,3.73,3.34,3.52,3.44,2675700,5,2017,18
Iya,,,,,3.59,3.24,3.12,3.16,3.61,3.5,3.74,3.3,1500000,2,2017,19
Iya,,,,,,,3.22,3.33,3.64,3.6,3.38,3.41,825000,3,2018,20
Iya,,,,,3.75,3.7,3.4,3.64,3,3.52,3.71,3.73,2750000,5,2017,19
Iya,,,,,3.47,3.89,3.38,3.2,3.71,3.64,3.71,3.69,2341350,3,2017,18
Iya,,,3.45,3.53,3.69,3.48,3.79,3.73,3.73,,,3.58,1000000,3,2016,21
Iya,,,,,3.94,3.5,3.75,3.5,3.87,3.72,2.58,3.7,2000000,2,2017,21
Iya,,,,,3.71,3.45,3.7,3.38,3.56,3.54,3.58,3.62,2500000,3,2017,20
Iya,,,,,3.71,3.63,3.32,3.94,4,3.96,4,3.72,900000,5,2017,21
Iya,,,,,,,3.55,3.38,3.45,3.37,3.91,3.46,700000,3,2018,19
Iya,,,,,3.06,2.95,2.61,2.7,2.71,0.42,0,3,1200000,3,2017,19
Iya,,,,,,,3.61,3.78,3.79,3.48,3.48,3.73,1500000,3,2018,19
Iya,,,,,,,3.06,3.28,3.64,3.21,3.46,3.34,500000,3,2018,20
Iya,,,,,3.61,3.11,3.7,3.9,3.77,3.9,4,3.49,1200000,4,2017,19
Iya,,,,,3.31,3.2,3.32,3.29,4,3.7,3.94,3.28,1000000,1,2017,19
Iya,,,,,3.41,3.18,3.13,3.11,2.65,3.3,2.85,3.29,2000000,2,2017,18
Iya,,,,,3.53,3.47,3.52,3.5,3.6,3.9,3.25,3.51,2000000,4,2017,19
Iya,,,,,3.32,3.21,3.5,2.64,3.08,3.39,3.5,3.26,2350000,1,2017,18
Iya,,,,,3.32,3.29,2.7,2.12,2.39,3.05,3.46,3.31,1500000,4,2017,20
Iya,,,,,3.71,3.61,2.95,3.45,3.35,3.55,3.74,3.65,750000,1,2017,18
Iya,,,3.74,3,3.88,3.25,3.71,3.76,3.76,,,3.51,2100000,3,2016,19
Iya,,,,,3.44,3.11,2.83,2.79,2.48,2.39,3.21,3.26,2600000,4,2017,18
Iya,,,,,3.83,3.56,3.73,3.85,3.7,4,4,3.71,2500000,3,2017,18
Iya,,,,,,,3.32,3.82,3.8,3.89,3.68,3.65,1760000,3,2018,19
Iya,,,,,3.71,3.11,3.43,3.63,3.9,3.08,3.67,3.41,2000000,4,2017,19
Iya,,,,,,,3.06,3.39,3.83,3.93,3.41,3.44,2000000,4,2018,20
Iya,,,,,,,3.47,3.82,3.86,3.78,4,3.72,1200000,4,2018,20
Iya,,,,,,,3.16,3.29,3.83,3.64,3.79,3.46,2000000,4,2018,20
Iya,,,,,3.63,3.45,3.31,3.13,3,3.28,3.16,3.5,2500000,3,2017,18
Iya,,,,,3.32,2.76,3.33,2.67,3,3.58,3.11,3.14,1200000,7,2017,20
Iya,,,2.95,2.29,3.43,3.45,3.52,3.27,3.75,,,3.07,2591000,3,2016,20
Iya,,,,,3.09,3.03,3,3.14,3.58,3.11,3.95,3.04,700000,1,2017,20
Iya,,,,,3.75,3.35,2.83,2.93,2.57,2.8,2.5,3.27,2700000,4,2017,19
Iya,,,,,3.41,3.79,3.83,3.64,3.52,3.15,3.65,3.69,1000000,4,2017,17
Iya,,,,,3.65,3.16,3.5,3.32,3.63,2.7,3.53,3.43,2500000,5,2017,19
Iya,,,,,3.5,3.34,2.64,3.03,2.78,2.83,3.27,3.42,2161400,1,2017,19
Iya,,,,,,,3.39,3.08,3.61,3.59,3.67,3.38,1000000,2,2018,19
Iya,,,3.16,3,3.66,3,3.4,3.37,3.8,,,3.24,1500000,3,2016,22
Iya,,,2.58,2.38,3.63,3.52,3.7,3.73,3.79,,,3.07,2500000,2,2016,18
Iya,,,,,3.94,3.63,3.86,3.46,3.8,3.52,3.67,3.78,1500000,3,2017,19
Iya,,,,,3.47,3.26,3.04,3.61,3.6,3.4,3.4,3.23,700000,2,2017,19
Iya,,,,,3.69,3.55,3.68,3.25,3.64,3.48,3.65,3.58,2504522,5,2017,19
Iya,,,,,,,3.42,3.08,3.65,2.93,3.35,3.39,600000,8,2018,21
Iya,,,,,3.12,2.92,3.55,3.29,3.2,3.06,3.42,3.22,2000000,2,2017,19
Iya,,,,,,,3.75,3.44,3.85,3.73,3.96,3.69,1000000,3,2018,21
Iya,,,,,3.47,3.89,3.38,3.2,3.71,3.64,3.71,3.54,2341350,3,2017,19
Iya,,,,,3.76,3.42,3.57,3.4,3.75,3.13,3.48,3.58,2500000,6,2017,20
Iya,,,,,,,3.83,3.78,3.75,3.62,3.46,3.78,2163000,5,2018,21
Iya,,,,,,,3.83,3.72,3.5,3.3,3.48,3.64,2500000,3,2018,19
Iya,,,,,3.88,3.37,3.29,3.57,3.48,3.09,3.37,3.61,1500000,5,2017,19
Iya,,,,,3.41,3.61,3.38,3.2,3.7,3.91,2.88,3.46,2150000,3,2017,20
Iya,,,,,,,3.67,3.83,3.8,3.67,3.72,3.77,1000000,3,2018,20
Iya,,,,,3.61,3.61,3.75,3.9,3.82,4,4,3.66,1200000,3,2017,20
Iya,,,,,3.24,3.21,2.67,2.89,2.64,2.58,3.25,3.22,1200000,4,2017,18
Iya,,,,,3.71,3.34,3.8,3.58,3.69,3.64,4,3.62,2000000,5,2017,20
Iya,,,,,,,3.44,3.61,3.94,3.68,3.69,3.71,900000,5,2018,19
Iya,,,,,3.41,3.21,3.66,3.63,3.87,3.65,3.89,3.31,2500000,3,2017,18
Iya,,,,,,,3.63,3.65,3.83,3.79,3.75,3.69,2000000,2,2018,19
Iya,,,,,3.65,3.58,3.52,3.68,3.2,3.43,2.8,3.59,2475000,5,2017,17
Iya,,,,,,,3.89,3.81,3.55,3.72,3.71,3.78,1500000,4,2018,19
Iya,,,,,,,3.32,3.41,3.95,3.85,3.37,3.56,2000000,9,2018,20
Iya,,,,,,,3.33,3.78,3.41,3.25,3.38,3.5,2000000,4,2018,20
Iya,,,,,3.29,3.11,3.17,3.05,2.73,3.45,3.19,3.19,1500000,3,2017,18
Iya,,,,,,,3.37,3.35,3.41,3.56,3.63,3.38,900000,2,2018,19
Iya,,,,,,,3.83,3.78,4,3.9,3.95,3.88,2570000,3,2018,19
Iya,,,,,2.97,3.21,3.27,3.45,3.67,3.67,2.67,3.1,2400000,4,2017,18
Iya,,,3,2.47,3.47,3.48,3.29,2.65,3.14,,,3.13,1500000,3,2016,20
Iya,,,,,,,3.33,3.33,3.8,3.29,3.28,3.5,2000000,5,2018,18
Iya,,,,,3.75,3.35,2.83,2.93,2.57,2.8,2.5,3.51,2564000,4,2017,18
Tidak,,,2.87,2.97,3.1,3.48,3.62,3.45,2.4,,,3.12,200000,3,2016,19
Tidak,,,2.84,2.38,3.08,3.56,3.35,3.57,3,,,3.02,4714500,3,2016,19
Tidak,,,2.82,3.11,3.24,3.32,3.26,3.06,3,,,3.13,3500000,3,2016,19
Tidak,,,3,2.47,3.47,3.48,3.29,2.65,3.14,,,3.19,2000000,3,2016,21
Tidak,,,,,,,3.53,3.29,3.5,3.85,3.79,3.42,750000,3,2018,19
Tidak,,,,,,,3.37,3.74,3.18,3.2,3.67,3.38,800000,4,2018,19
Tidak,,,2.95,2.29,3.43,3.45,3.52,3.27,3.75,,,3.21,2221200,3,2016,21
Tidak,,,2.63,2.21,2.79,3.17,3.02,3.11,3.25,,,3.12,1200000,5,2016,19
Tidak,,,3.74,3,3.88,3.25,3.71,3.76,3.76,,,3.55,1800000,3,2016,20
Tidak,2.39,2.5,3.48,3.73,3.43,3.43,3.89,,,,,3.2,9787000,4,2015,20
Tidak,,,2.79,2.68,3.55,3.4,3.79,3.28,3.17,,,3.12,3500000,2,2016,20
Tidak,,,,,,,3.11,3.47,3.61,3.35,3.09,3.39,1244800,1,2018,19
Tidak,,,,,3,3.05,3.2,2.57,3.29,3.2,3.53,3.09,2000000,3,2017,19
Tidak,,,,,,,3.33,3.89,3.93,3.58,3.93,3.73,1500000,3,2018,19
Tidak,,,,,,,3.47,3.94,3.18,3.18,3.59,3.51,3815894,3,2018,19
Tidak,,,,,3.63,3.45,3.31,3.13,3,3.28,3.16,3.45,3500000,3,2017,19
Tidak,,,,,3.61,3.61,3.75,3.9,3.82,4,4,3.74,1200000,3,2017,21
Tidak,,,,,3.56,3.39,3.23,3.08,3.43,3.23,3.4,3.38,1500000,4,2017,20
Tidak,,,,,3.47,2.89,3.1,3.05,2.65,3.25,3.71,3.14,1955654,6,2017,19
Tidak,,,,,3.06,3.06,3.25,3.78,3.86,3.95,3.88,3.06,3251875,4,2017,18
Tidak,,,,,,,3.67,3.72,3.95,3.93,3.55,3.79,700000,3,2018,20
Tidak,,,,,3.65,3.47,3.57,2.88,3.05,3.5,3.61,3.56,2000000,3,2017,19
Tidak,,,,,3,3.2,2.96,2.57,2.97,2.89,2.95,3.09,4013800,3,2017,19
Tidak,,,2.87,2.53,3.05,2.95,3.55,3.11,3.48,,,3.02,1300000,2,2016,20
Tidak,,,,,3.71,3.89,3.57,3.46,3.57,3.38,3.56,3.62,2000000,4,2017,20
Tidak,,,,,3.29,2.97,3.32,3.57,3.61,3.35,3.06,3.2,1500000,4,2017,19
Tidak,,,2.97,3.53,3.35,3.08,3.45,3.41,3.04,,,3.28,4991300,2,2016,20
Tidak,,,,,3.59,3.42,3.17,2.45,3.43,3.39,3.29,3.4,3300000,6,2017,19
Tidak,,,,,3.12,3.21,3.33,3.17,3.27,3.02,3.6,3.22,2500000,4,2017,19
Tidak,,,,,3.61,3.11,3.7,3.9,3.77,3.9,4,3.63,1200000,3,2017,20
Tidak,2.24,2.65,3.21,3.5,2.93,3.31,2.75,,,,,3.08,4000000,1,2015,21
Tidak,,,,,3.29,3.11,3.17,3.05,2.73,3.45,3.19,3.19,2000000,3,2017,19
Tidak,,,,,3.71,3.47,3.53,3.63,3.7,3.13,3.39,3.56,2000000,6,2017,19
Tidak,,,,,,,3.22,3.06,3.68,3.21,2.98,3.34,1500000,2,2018,19
Tidak,,,,,,,3.89,3.94,3.74,3.5,3.83,3.85,1000000,3,2018,19
Tidak,,,,,3.24,3.11,2.91,2.73,1.68,2.67,2.82,3.17,3000000,3,2017,19
Tidak,2.74,2.82,3.48,3.35,2.98,3.5,3.1,,,,,3.15,4000000,2,2015,20
Tidak,,,,,3.63,3.3,3.02,2.98,3.75,3.52,3.72,3.28,2250875,4,2017,20
Tidak,,,,,3.76,3.42,3.57,3.4,3.75,3.13,3.48,3.58,3000000,3,2017,19
Tidak,,,,,,,3.89,4,3.8,3.15,3.94,3.89,1000000,4,2018,20
Tidak,,,2.58,2.38,3.63,3.52,3.7,3.73,3.79,,,3.18,3500000,2,2016,19
Tidak,,,,,3.26,3.16,3.48,2.98,2.58,3.08,3.31,3.21,1500000,2,2017,18
Tidak,,,,,,,3.55,3.76,3.45,3.55,3.7,3.58,3000000,3,2018,19
Tidak,,,2.97,2.53,3.24,3.21,2.83,3.36,3.62,,,3.01,4836800,1,2016,20
Tidak,,,2.71,2.68,3.61,3.36,3.5,2.94,3.72,,,3.16,2000000,2,2016,20
Tidak,,,,,3.76,3.74,3.27,3.45,3.61,3.79,3.53,3.75,4500000,4,2017,17
Tidak,,,,,3.76,3.34,3.29,2.54,2.92,2.86,3.36,3.45,2500000,4,2017,19
Tidak,,,,,3.5,3.39,3.87,3.64,3.24,3,3,3.55,1000000,2,2017,21
Tidak,,,,,3.88,3.53,3.39,3.3,3.35,3.57,2.61,3.58,4100500,3,2017,19
Tidak,,,,,3.15,3,2.65,2.75,2.85,2.93,3.33,3.07,3795800,4,2017,19
Tidak,,,,,3.82,3.37,0.1,0,0,0,0,3.58,525000,3,2017,18
Tidak,,,,,,,3.44,3.44,3.48,3.3,3.25,3.46,500000,2,2018,21
Tidak,,,,,3.28,3.06,3.26,3.18,3.14,3.13,3.07,3.2,2000000,4,2017,19
Tidak,,,,,3.65,3.58,3.52,3.68,3.2,3.43,2.8,3.58,3500000,5,2017,18
Tidak,,,,,3.76,3.16,3.48,3.36,3.73,3.34,3.52,3.46,4145700,5,2017,19
Tidak,,,,,2.94,3.11,2.89,3.29,3.26,3.21,3.03,3.03,6271200,4,2017,18
Tidak,,,,,3.09,3.21,3.55,2.82,3.42,3.61,3.61,3.3,1250000,1,2017,19
Tidak,2.82,2.85,2.98,3.02,3.4,3.74,3.37,,,,,3.13,3126200,4,2015,21
Tidak,,,,,3.59,3.42,3.17,2.45,3.43,3.39,3.29,3.5,2800000,5,2017,18
Tidak,,,,,,,3.5,2.92,3.52,3.61,3.55,3.33,1200000,4,2018,19
Tidak,,,,,3.38,3.3,2.98,3.52,3.82,3.63,4,3.31,7696674,3,2017,18
Tidak,,,2.95,3.05,2.74,3.1,3.21,3.11,3.43,,,3.03,9500000,2,2016,19
Tidak,,,,,3.71,3.47,3.53,3.63,3.7,3.13,3.39,3.61,2000000,6,2017,20
Tidak,,,,,,,3.69,3.72,3.85,3.76,4,3.76,1500000,2,2018,20
Tidak,,,,,3.69,3.5,3.23,3.35,3.17,2.9,3.64,3.45,2000000,2,2017,19
Tidak,,,2.95,2.91,3.14,3.11,3.21,3.36,3.31,,,3.03,3114360,3,2016,19
Tidak,,,,,3.11,3,3.59,3.78,3.86,3.8,3.75,3.06,1500000,3,2017,19
Tidak,,,,,3.47,3.5,3.39,3.17,3.23,3.52,3.72,3.49,2500000,2,2017,18
Tidak,,,,,3.83,3.61,3.86,4,3.82,3.94,3.83,3.85,1200000,4,2017,22
Tidak,,,,,3.69,3.5,3.23,3.35,3.17,2.9,3.64,3.57,2000000,2,2017,18
Tidak,,,,,2.88,3.2,2.95,2.61,3.03,3.46,3.26,3.04,2245000,4,2017,18
Tidak,,,,,3.38,2.89,3.28,2.68,3.05,3.07,3.5,3.13,5000000,3,2017,19
Tidak,,,,,,,3.58,3.59,3.91,3.78,3.93,3.71,1200000,5,2018,19
Tidak,,,2.61,2.94,3.55,3.43,3.39,3.58,3.58,,,3.21,2030000,2,2016,20
Tidak,,,,,3.56,3.55,3.24,3.34,3.04,3.56,3.88,3.54,1800000,1,2017,18
Tidak,,,,,3.12,3.03,3.18,3.07,2.95,3.43,3.4,3.07,4162800,2,2017,18
Tidak,,,,,3.28,3.06,3.43,3.02,3.02,2.89,2.75,3.27,2718035,2,2017,20
Tidak,,,2.79,2.24,3.38,3.55,3.43,3.63,3.88,,,3.03,2500000,2,2016,19
Tidak,,,,,3.88,3.53,3.39,3.3,3.35,3.57,2.61,3.47,4807000,3,2017,20
Tidak,2.71,2.76,3.05,3.05,3.59,3.81,3.37,,,,,3.23,14273780,3,2015,21
Tidak,,,,,,,3.64,3.5,3.63,3.22,3.89,3.58,1400000,3,2018,19
Tidak,,,,,3.32,3.11,2.98,2.7,2.41,2.97,3.64,3.11,7500000,2,2017,18
Tidak,,,,,,,3.61,3.82,3.6,3.55,3.35,3.67,3000000,2,2018,20
Tidak,,,,,,,3.94,3.83,3.57,2.98,3.08,3.81,2800000,2,2018,20
Tidak,,,,,3.18,3.03,3.14,3,0,0,1.92,3.1,6396700,2,2017,17
Tidak,,,,,3.32,3.03,2.83,2.25,3.13,2.96,3.2,3.12,1000000,4,2017,20
Tidak,,,,,3.69,3.55,3.68,3.25,3.64,3.48,3.65,3.64,3800000,5,2017,20
Tidak,3.42,3.15,3.07,3.61,3.36,3.58,3.6,,,,,3.36,7914100,4,2015,20
Tidak,,,,,3.41,3.26,3.39,3.46,3.15,3,3.5,3.36,1700000,3,2017,19
Tidak,,,3.32,3.41,3.59,3.95,3.88,3.89,3.76,,,3.64,3000000,4,2016,20
Tidak,,,,,3.63,3.35,3.05,2.98,2.83,3.37,3.61,3.32,1000000,4,2017,19
Tidak,,,,,3.41,3.21,3.66,3.63,3.87,3.65,3.89,3.66,2000000,3,2017,19
Tidak,,,,,3.12,2.89,2.9,3.19,2.9,2.93,2.67,3,2600000,3,2017,19
Tidak,,,,,3.59,3,2.55,1.53,2.05,1.94,2.26,3.07,2000000,2,2017,19
Tidak,,,,,,,3.83,3.83,3.48,3.07,3.79,3.7,2500000,3,2018,21
Tidak,,,,,3.53,3.53,3.5,3.55,3.71,3.29,3.59,3.58,0,2,2017,22
Tidak,,,2.97,2.29,3.48,3.59,3.65,3.88,3.82,,,3.13,3000000,4,2016,19
Tidak,,,2.79,2.39,3.47,3.39,3.35,2.97,2.89,,,3.1,2900000,4,2016,20
Tidak,,,,,2.65,3.11,3.23,3.33,3.35,3.18,3.86,3.01,707374,3,2017,20
Tidak,,,,,,,3.67,3.72,3.83,3.25,3.33,3.74,400000,5,2018,19
Tidak,,,,,,,3.5,3.33,3.6,3.33,3.4,3.48,1500000,2,2018,19
Tidak,,,,,3.29,3,3.36,3.41,3.5,3.61,3.22,3.36,1500000,3,2017,20
Tidak,,,3.42,2.76,3.8,3.56,3.95,3.93,3.89,,,3.53,2000000,3,2016,21
Tidak,,,,,3.88,3.37,3.29,3.57,3.48,3.09,3.37,3.5,2000000,5,2017,21
Tidak,,,,,,,3.28,3.39,3.33,3.02,3.34,3.33,1000000,2,2018,18
Tidak,,,,,3.47,3.26,3.04,3.61,3.6,3.4,3.4,3.36,700000,2,2017,20
Tidak,,,,,,,3.64,3.28,3.55,3.43,3.48,3.49,3600000,4,2018,20
Tidak,,,,,,,3.78,3.83,3.82,3.55,3.65,3.81,1700000,4,2018,19
Tidak,,,,,3.82,3.58,3.68,2.98,3.41,3.25,3.63,3.48,1000000,1,2017,20
